image,text
data/raw/dataset/0.png,"پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور 
"
data/raw/dataset/1.png,"اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس 
"
data/raw/dataset/10.png,"نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے 
"
data/raw/dataset/100.png,"نہیں آ یا۔ آخریہ کونسا مذہب ہے؟کیا اسلام کے نام 
"
data/raw/dataset/1000.png,"ضرور ہے۔ انہوں نے کہا کہ میرا احمدیوں سے کوئی 
"
data/raw/dataset/10000.png,"ڈالر کی قدر میں اضافہ ہوگیا تاہم یورپین ممالک کی 
"
data/raw/dataset/10001.png,"اہم کرنسیوں بشمول یورو اور برطانوی پاؤنڈ کی قدر میں 
"
data/raw/dataset/10002.png,"کمی ریکارڈ کی گئی۔ منگل کو امریکی ڈالر کی قیمت 
"
data/raw/dataset/10003.png,"فروخت اور قیمت خرید میں بالترتیب 21 پیسے اور 20 
"
data/raw/dataset/10004.png,"پیسے کی تیزی رہی، تاہم یورو کی قیمت فروخت میں 
"
data/raw/dataset/10005.png,"50 پیسے اور قیمت خرید میں 49 پیسے کی کمی 
"
data/raw/dataset/10006.png,"ریکارڈ کی گئی۔ اسی طرح برطانوی پاؤنڈ کی قدر میں 
"
data/raw/dataset/10007.png,"بھی 45 پیسے کی مندی رہی۔ نیشنل بینک آف پاکستان 
"
data/raw/dataset/10008.png,"سے جاری کردہ اعداد و شمار کے مطابق امریکی ڈالر 
"
data/raw/dataset/10009.png,"اپنی گزشتہ کاروباری روز کی قیمت فروخت 88.17 روپے سے 
"
data/raw/dataset/1001.png,"تعلق نہیں، انہوں نے کہا کہ پولیس کو اپنی کارکردگی 
"
data/raw/dataset/10010.png,"بڑھ کر 88.38 روپے اور قیمت خرید 85.97 روپے سے 
"
data/raw/dataset/10011.png,"بڑھ کر 86.17 روپے ہوگئی۔ دریں اثناء یورو کی قیمت 
"
data/raw/dataset/10012.png,"فروخت 124.93 روپے سے کم ہو کر 124.43 روپے اور 
"
data/raw/dataset/10013.png,"قیمت خرید 121.77 روپے سے کم ہو کر 121.28 روپے 
"
data/raw/dataset/10014.png,"ہوگئی۔ اسی طرح برطانوی پاؤنڈ کی قیمت فروخت بھی 142.69 
"
data/raw/dataset/10015.png,"روپے سے کم ہو کر 142.24 روپے اور قیمت خرید 
"
data/raw/dataset/10016.png,"139.11 روپے سے کم ہو کر 138.66 روپے پر بند 
"
data/raw/dataset/10017.png,"ہوئی۔  
"
data/raw/dataset/10018.png,"واشنگٹن (اے پی پی) ورلڈ بینک نے امید ظاہر کی 
"
data/raw/dataset/10019.png,"ہے کہ امریکہ کو ایک اور کساد بازاری کا سامنا 
"
data/raw/dataset/1002.png,"بہتر بنانی چاہئے کیونکہ وزیراعلیٰ پنجاب نے انکی تنخواہیں ڈبل 
"
data/raw/dataset/10020.png,"نہیں کرنا پڑے گا۔ ورلڈ بینک کے سربراہ رابرٹ زوئیلک 
"
data/raw/dataset/10021.png,"نے اپنے ایک بیان میں کہا ہے کہ انہیں اس 
"
data/raw/dataset/10022.png,"بات کا یقین ہے کہ امریکہ ایک اور کساد بازاری 
"
data/raw/dataset/10023.png,"کی لپیٹ میں نہیں آئے گا اور نہ ہی دنیا 
"
data/raw/dataset/10024.png,"کے دوسرے ممالک کو اس قسم کے بحران کا سامنا 
"
data/raw/dataset/10025.png,"ہو سکتا ہے۔ رابرٹ زوئیلک سنگاپور میں ایک اجلاس سے 
"
data/raw/dataset/10026.png,"خطاب کر رہے تھے جس میں ان سے امریکہ کی 
"
data/raw/dataset/10027.png,"اقتصادی صورتحال کے حوالے سے سوال کیا گیا تھا۔  
"
data/raw/dataset/10028.png,"ڈھاکہ ( جنگ نیوز) بھارتی وزیراعظم منموہن سنگھ نے کہا 
"
data/raw/dataset/10029.png,"ہے کہ اگر انہیں بنگلہ دیش کے دورے کے دوران 
"
data/raw/dataset/1003.png,"کر دی ہیں۔ اس کے باوجود کارکردگی میں بہتری نہیں 
"
data/raw/dataset/10030.png,"ہلسا مچھلی پیش کی جائے تو وہ گوشت نہ کھانے 
"
data/raw/dataset/10031.png,"کا عہد توڑنے کے لئے تیار ہیں۔ بھارتی وزیراعظم منموہن 
"
data/raw/dataset/10032.png,"سنگھ دو روزہ سرکاری دورے پر بنگلہ دیش پہنچے ہیں۔ 
"
data/raw/dataset/10033.png,"منموہن سنگھ نے بنگلہ دیش کی نیوز ایجنسی کو ایک 
"
data/raw/dataset/10034.png,"انٹرویو میں بتایا کہ اگرچہ وہ سبزی خور ہیں لیکن 
"
data/raw/dataset/10035.png,"بنگلہ دیش انہیں ہلسا مچھلی پیش کرنے کی کوشش کرے 
"
data/raw/dataset/10036.png,"گا۔انہوں نے کہا کہ ’میں سبزی کے علاوہ کچھ نہ 
"
data/raw/dataset/10037.png,"کھانے کا عہد توڑنے کو تیار ہوں کیونکہ میں نے 
"
